,label,sentence
2738,disgust,when i saw a documentary film about world war ii ( about hitler and his adepts )
2739,fear,when my father was very drunk and raging at home
2740,shame,"my girlfriend had started going around with another boy her cousin , also a friend of mine , asked her as to who she preferred both of us were present and she chose the other guy"
2741,anger,at a school dance when my supposed best friend kept walking away from me whenever i came near her
2742,disgust,"when i learnt that my offer to study at the university had been withdrawn and so i would not get hostel accomodation at unza , even though i registered as a student later"
2743,guilt,i offended my mother
2744,joy,"the sense of joy comes to me always after a period of depression , as an organic feeling for an upsurge i don ' t exclude the situative feeling but in this case the reason is not in me , it ' s out of me"
2745,disgust,"when i saw a lady putting on a pair of trousers , i felt it was a disguise according to malawi culture"
2746,anger,when i saw a few people beating a man who seemed to be a stranger
2747,shame,my son was apprehended for shoplifting at the age of 14 because i too had been apprehended at the same age i felt the shame of not having been able to prevent my son from acting in the same way
2748,joy,passing my driver ' s examination ( after two failures )
2749,shame,"like guilt the most ashamed i have ever felt was when i began to feel guilty about having sex with my boyfriend when it was only the thing to do , and not really an act of love"
2750,sadness,when my grandmother passed away
2751,disgust,when i learned that a relative had been spreading rumours about me
2752,disgust,i was disgusted at the way the bus conductor threw out an old woman oiut of the mini bus simply because she could not pay the fare for her luggage
2753,sadness,i heard of the death of a closefriend of mine i had gone camping with him shortly before his death and the whole thing seemed very sudden to me
2754,sadness,when i failed an exam last summer i had worked very hard for it and i was very disappointed thinking that it was hopeless to continue at college i did overreact
